komnr,2015,2016,2017,2018,2019,2020,2021
4640,88.0,86.0,90.0,90.0,88.0,89.0,85.0
4641,10.0,14.0,11.0,9.0,10.0,12.0,16.0
4642,17.0,16.0,18.0,24.0,19.0,18.0,18.0
4643,33.0,28.0,29.0,25.0,21.0,23.0,39.0
4644,65.0,63.0,74.0,65.0,64.0,63.0,61.0
4645,31.0,26.0,28.0,20.0,19.0,26.0,23.0
4646,24.0,22.0,19.0,18.0,18.0,20.0,19.0
4647,118.0,151.0,149.0,144.0,162.0,165.0,181.0
4648,33.0,31.0,26.0,26.0,26.0,21.0,24.0
4649,68.0,65.0,87.0,78.0,75.0,92.0,95.0
4650,105.0,112.0,113.0,119.0,111.0,112.0,110.0
4651,47.0,64.0,76.0,76.0,75.0,64.0,67.0
5001,970.0,986.0,998.0,1085.0,1140.0,1143.0,1227.0
5006,244.0,230.0,248.0,235.0,256.0,249.0,242.0
5007,84.0,90.0,101.0,100.0,115.0,110.0,104.0
5014,41.0,40.0,32.0,32.0,30.0,31.0,25.0
5020,,,7.0,8.0,11.0,13.0,19.0
5021,45.0,46.0,44.0,34.0,49.0,43.0,43.0
5022,26.0,32.0,33.0,23.0,19.0,20.0,23.0
5025,44.0,39.0,37.0,35.0,33.0,36.0,41.0
5026,8.0,8.0,9.0,5.0,8.0,20.0,18.0
5027,23.0,26.0,37.0,49.0,54.0,53.0,57.0
5028,72.0,78.0,86.0,89.0,83.0,105.0,97.0
5029,26.0,24.0,20.0,25.0,19.0,33.0,43.0
5031,68.0,68.0,75.0,70.0,73.0,68.0,66.0
5032,27.0,33.0,37.0,24.0,24.0,31.0,29.0
5033,,,,,6.0,,5.0
5034,20.0,20.0,20.0,24.0,22.0,22.0,18.0
5035,203.0,235.0,221.0,220.0,176.0,173.0,167.0
5036,20.0,24.0,24.0,22.0,22.0,23.0,31.0
5037,173.0,186.0,195.0,220.0,216.0,238.0,252.0
5038,88.0,107.0,111.0,115.0,112.0,121.0,119.0
5041,16.0,15.0,16.0,18.0,16.0,16.0,15.0
5042,12.0,9.0,11.0,7.0,12.0,12.0,11.0
5043,,,,,,,
5044,,,,,,,
5045,24.0,21.0,15.0,17.0,16.0,17.0,15.0
5046,19.0,16.0,20.0,15.0,11.0,19.0,22.0
5047,28.0,25.0,24.0,30.0,25.0,26.0,22.0
5049,13.0,13.0,13.0,10.0,10.0,8.0,9.0
5052,,,,,,,
5053,59.0,62.0,60.0,53.0,56.0,64.0,68.0
5054,64.0,70.0,77.0,82.0,95.0,116.0,121.0
5055,,,,,,70.0,64.0
5056,,,,,,42.0,39.0
5057,84.0,84.0,100.0,47.0,90.0,96.0,102.0
5058,47.0,44.0,41.0,42.0,52.0,48.0,53.0
5059,,,,,,104.0,123.0
5060,90.0,84.0,86.0,85.0,90.0,89.0,97.0
5061,13.0,13.0,13.0,8.0,7.0,8.0,12.0
5401,432.0,462.0,478.0,470.0,500.0,487.0,504.0
5402,218.0,206.0,197.0,188.0,185.0,187.0,189.0
5403,110.0,130.0,141.0,156.0,144.0,156.0,153.0
5404,8.0,7.0,10.0,9.0,9.0,7.0,7.0
5405,64.0,63.0,67.0,63.0,68.0,69.0,75.0
5406,61.0,65.0,57.0,79.0,79.0,88.0,83.0
5411,77.0,73.0,64.0,70.0,67.0,64.0,59.0
5412,37.0,40.0,42.0,39.0,42.0,49.0,48.0
5413,16.0,14.0,15.0,10.0,11.0,11.0,24.0
5414,13.0,11.0,10.0,10.0,10.0,7.0,7.0
5415,9.0,5.0,5.0,6.0,7.0,12.0,6.0
5416,25.0,27.0,26.0,23.0,33.0,30.0,28.0
5417,12.0,13.0,16.0,17.0,22.0,21.0,20.0
5418,34.0,49.0,51.0,52.0,56.0,53.0,56.0
5419,33.0,24.0,24.0,30.0,24.0,25.0,28.0
5420,20.0,13.0,10.0,11.0,11.0,11.0,8.0
5421,114.0,112.0,118.0,115.0,131.0,126.0,141.0
5422,81.0,73.0,68.0,66.0,57.0,68.0,65.0
5423,25.0,23.0,26.0,24.0,24.0,18.0,19.0
5424,26.0,24.0,29.0,26.0,27.0,24.0,27.0
5425,17.0,18.0,18.0,24.0,19.0,23.0,26.0
5426,25.0,24.0,25.0,23.0,16.0,20.0,24.0
5427,33.0,37.0,36.0,39.0,33.0,33.0,22.0
5428,51.0,48.0,53.0,49.0,45.0,40.0,37.0
5429,12.0,13.0,9.0,8.0,8.0,8.0,11.0
5430,16.0,17.0,15.0,24.0,18.0,25.0,26.0
5432,,,,,,5.0,7.0
5433,5.0,5.0,5.0,5.0,5.0,5.0,
5434,,,5.0,,,,
5435,14.0,23.0,24.0,17.0,19.0,14.0,18.0
5436,25.0,34.0,28.0,33.0,32.0,34.0,40.0
5437,41.0,40.0,35.0,39.0,46.0,43.0,38.0
5438,15.0,14.0,16.0,16.0,14.0,18.0,14.0
5439,9.0,9.0,9.0,8.0,9.0,14.0,13.0
5440,7.0,10.0,7.0,10.0,10.0,8.0,12.0
5441,41.0,42.0,44.0,43.0,43.0,46.0,43.0
5442,12.0,8.0,13.0,8.0,9.0,6.0,11.0
5443,11.0,13.0,13.0,18.0,16.0,10.0,14.0
5444,82.0,85.0,76.0,73.0,71.0,78.0,78.0
