komnr,2015,2016,2017,2018,2019,2020,2021
4625,3.8,5.6,5.8,7.9,8.0,7.4,8.8
4626,56.3,64.9,63.9,66.0,73.9,72.9,72.8
4627,43.1,35.9,35.1,42.1,35.3,27.2,36.0
4628,12.3,13.9,14.6,12.0,10.1,11.1,10.0
4629,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4630,14.7,15.0,16.6,16.7,15.4,17.5,15.9
4631,76.1,74.4,71.2,78.1,75.8,76.8,82.7
4632,7.4,6.9,6.5,6.0,5.3,5.6,5.9
4633,2.6,2.1,0.5,0.0,0.0,0.0,0.0
4634,8.3,8.7,6.6,6.8,7.5,8.7,7.2
4635,5.1,6.4,6.3,9.4,7.8,7.2,5.2
4636,0.0,1.2,0.6,0.0,0.0,0.0,0.0
4637,4.3,7.8,5.3,4.4,8.4,8.0,5.2
4638,15.3,19.0,16.8,17.8,18.4,21.1,16.0
4639,9.4,6.6,7.1,7.4,6.9,8.5,8.1
4640,23.3,32.5,33.9,32.9,35.4,26.3,27.5
4641,5.0,6.6,4.7,5.7,4.4,6.3,5.9
4642,4.9,3.2,5.9,4.9,5.1,4.7,3.4
4643,12.5,14.6,10.5,12.5,15.0,16.2,11.1
4644,9.4,11.4,16.3,19.2,17.0,18.4,18.4
4645,13.2,13.2,12.8,11.1,13.2,12.2,11.4
4646,7.9,7.2,10.1,13.3,10.7,12.6,12.9
4647,80.1,81.4,86.3,78.9,84.5,90.1,97.7
4648,14.0,15.8,16.5,19.6,14.3,16.2,15.8
4649,23.9,22.6,31.1,29.1,30.5,42.2,39.4
4650,33.3,35.6,38.0,39.7,39.6,34.8,34.6
4651,11.0,9.8,7.5,12.9,6.4,15.8,14.8
5001,224.0,241.6,225.0,228.6,232.5,226.8,224.1
5006,71.0,65.9,72.2,71.6,72.3,86.1,85.3
5007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5014,7.3,9.2,8.1,7.7,6.6,5.6,5.9
5020,0.0,0.0,1.8,2.5,2.2,3.3,2.9
5021,24.5,20.0,23.9,27.5,26.1,28.4,26.5
5022,7.7,5.6,8.0,7.3,8.7,8.8,7.3
5025,7.2,6.1,8.8,9.2,10.5,9.6,8.7
5026,4.5,4.8,6.3,7.1,7.7,13.6,11.5
5027,16.3,19.9,22.4,28.2,27.6,23.0,20.0
5028,24.5,20.8,25.7,29.4,28.4,26.2,27.6
5029,8.2,7.5,6.2,6.9,7.9,6.4,9.4
5031,27.1,23.2,22.1,37.3,35.1,33.1,37.8
5032,11.9,8.5,9.3,9.2,8.8,9.7,9.8
5033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5034,10.3,8.1,8.9,6.6,6.3,6.3,7.5
5035,77.3,78.4,85.5,80.5,73.5,77.0,68.1
5036,8.9,7.8,8.1,7.1,6.5,8.2,10.3
5037,56.0,65.7,56.5,51.8,65.2,70.6,69.8
5038,19.0,22.2,16.6,37.6,32.6,30.2,29.4
5041,6.3,11.2,8.7,8.4,8.3,10.0,8.0
5042,4.6,3.9,3.8,4.0,3.5,3.0,3.5
5043,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5045,4.8,6.3,6.8,7.4,7.3,6.5,5.8
5046,0.0,0.0,3.4,3.4,0.0,0.0,3.7
5047,10.3,8.9,11.8,11.2,8.4,9.7,10.0
5049,2.8,3.3,2.5,3.1,3.0,3.2,2.6
5052,0.0,0.0,0.0,0.0,0.0,0.0,1.8
5053,14.8,15.5,17.3,19.6,18.5,21.4,21.9
5054,9.0,10.7,10.0,15.1,13.4,15.4,19.4
5055,17.5,18.2,15.2,15.2,14.7,13.1,15.7
5056,7.8,10.0,12.8,12.6,12.6,12.8,15.6
5057,27.0,26.6,23.1,27.3,27.6,28.1,19.7
5058,11.7,12.1,13.9,15.0,15.1,13.5,13.7
5059,37.7,38.6,45.0,42.4,41.8,42.4,38.4
5060,25.9,26.5,26.0,21.6,24.1,17.6,18.2
