komnr,2015,2016,2017,2018,2019,2020,2021
4637,11.74,9.66,9.5,10.2,12.7,9.8,10.1
4638,10.88,11.43,11.1,11.1,10.8,11.1,11.4
4639,12.89,9.98,10.5,9.8,10.5,12.1,13.4
4640,48.510000000000005,58.18,63.3,69.8,62.5,22.1,22.3
4641,17.19,17.55,17.6,20.4,24.2,24.6,18.2
4642,18.41,17.28,21.2,19.8,17.2,16.3,19.5
4643,13.19,14.37,14.9,14.4,14.0,15.8,18.2
4644,10.69,11.65,13.0,8.8,13.4,11.9,14.2
4645,7.88,8.57,8.1,7.6,8.6,7.6,7.5
4646,17.48,14.48,14.4,15.9,11.2,12.9,14.2
4647,53.66,46.57,50.5,48.5,46.3,11.3,11.0
4648,13.26,13.11,12.8,13.9,13.9,15.2,14.2
4649,20.5,21.3,21.799999999999997,22.4,23.7,12.9,13.2
4650,10.94,9.95,10.8,10.9,13.3,13.6,13.0
4651,12.22,11.54,10.1,9.9,10.2,11.1,13.3
1577,22.189999999999998,22.799999999999997,28.1,30.7,28.5,14.1,13.2
1506,41.28,40.57,37.4,35.4,32.8,11.7,12.8
1507,67.47,65.58,60.8,62.9,63.1,9.9,9.9
1505,12.62,12.8,15.3,15.7,14.9,14.3,15.1
1511,13.97,13.05,17.4,14.7,13.5,10.9,12.3
1514,16.79,14.48,19.4,17.5,20.2,10.2,13.8
1515,10.82,10.39,12.4,12.5,10.2,9.1,8.2
1516,13.69,13.44,14.2,14.5,13.7,12.6,12.2
1517,12.52,11.87,12.8,13.5,10.9,11.0,10.8
1520,9.67,9.65,10.5,9.4,9.9,8.8,8.4
1578,21.189999999999998,29.86,19.1,19.0,27.6,8.7,9.4
1525,7.77,8.03,11.8,12.5,13.4,12.7,12.7
1528,13.58,14.01,16.1,12.4,10.5,9.0,8.4
1531,13.9,13.3,13.2,15.1,13.5,11.5,9.9
1532,18.51,20.07,17.9,20.8,16.1,21.8,23.3
1535,21.15,19.43,19.4,19.6,18.0,16.3,16.9
1539,7.62,7.93,7.9,8.3,9.2,9.8,10.8
1547,15.16,10.92,11.3,10.5,10.3,9.9,8.0
1579,23.64,25.82,24.7,25.0,32.2,13.5,12.4
1554,8.12,8.53,8.9,9.0,8.8,8.7,8.8
1557,5.24,5.91,6.6,6.5,9.1,8.2,9.4
1560,6.45,4.94,4.5,4.6,6.8,7.3,8.9
1563,9.73,10.62,12.9,17.8,8.3,8.6,8.4
1566,12.55,17.06,14.7,14.6,14.9,13.4,10.6
5061,12.02,11.41,10.4,8.9,8.0,8.5,6.5
1573,7.83,8.44,9.3,10.7,11.8,7.2,6.6
1576,6.43,6.27,7.6,8.0,7.9,8.8,8.0
5001,29.29,29.200000000000003,28.9,28.700000000000003,19.3,9.4,9.9
5006,14.97,15.030000000000001,14.7,17.4,17.9,10.7,11.2
5007,22.03,20.64,24.7,24.8,22.4,8.8,9.7
5014,13.14,13.49,15.5,16.4,15.1,12.8,11.6
5057,20.51,22.89,21.4,15.5,19.4,10.1,9.1
5058,28.43,29.79,26.6,26.6,22.6,10.3,13.8
5020,3.13,3.17,4.3,5.1,5.5,4.8,5.2
5021,12.91,14.18,16.2,15.1,16.2,15.3,14.9
5022,8.18,7.56,7.3,7.2,6.6,6.0,6.0
5025,6.37,6.98,6.7,8.1,7.2,7.5,6.8
5026,8.61,9.28,9.8,7.9,7.7,11.1,8.9
5027,7.74,7.93,7.8,8.2,8.1,8.5,8.1
5028,8.49,9.98,10.1,10.2,8.2,8.7,10.6
5029,12.49,10.62,9.6,10.7,14.4,12.9,12.7
5031,8.29,7.92,9.9,10.5,9.8,9.4,8.9
5032,10.34,9.56,9.6,10.5,9.9,9.8,9.4
5033,5.36,6.86,6.0,4.3,7.7,4.1,4.8
5034,8.94,10.58,9.5,8.2,8.1,7.4,8.1
5035,10.48,12.63,10.6,10.0,8.6,8.7,8.3
5036,12.33,11.71,9.7,9.4,9.7,9.4,8.4
