komnr,Befolkning 2020,2012,2013,2014,2015,2016,2017,2018,2019,2020
3419,3662,86492.0,386530.0,110647.0,375103.0,166000.0,55000.0,259813.0,501287,284389.0
3420,21254,27082521.420000013,29275368.250000004,33709010.96000001,34620462.02,5472086.0,6668536.0,15268996.0,12900537,9909356.0
3421,6627,2516054.0,2787152.0,2725993.0,2249524.0,1277330.71,872298.0,1580485.0,126092,15839.0
3422,4356,,,,5335941.0,3390395.0,1561311.0,0.0,0,0.0
3423,2419,1591390.0,3605001.0,2051677.0,1319937.0,2137847.0,3963389.0,2696424.0,237924,192650.0
3424,1780,753246.0,983643.0,707994.0,0.0,4720.0,889828.0,917973.0,1225698,1117000.0
3425,1268,6000.0,12000.0,0.0,0.0,223967.0,0.0,1283000.0,1400638,149063.0
3426,1562,166942.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
3427,5578,258000.0,763000.0,24000.0,0.0,1022416.0,628817.0,0.0,0,0.0
3428,2432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
3429,1545,51933.0,178307.0,880903.0,0.0,948000.0,174000.0,1191172.0,303813,922991.0
3430,1891,141148.0,0.0,119048.0,0.0,0.0,0.0,485771.0,574241,817367.0
3431,2553,0.0,0.0,134385.0,155438.0,0.0,0.0,0.0,0,0.0
3432,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,464341.0
3433,2197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
3434,2228,492361.0,405807.0,281270.0,722437.0,324000.0,0.0,0.0,261902,0.0
3435,3570,50264.0,48396.0,82070.0,25713.0,0.0,0.0,0.0,0,0.0
3436,5723,435923.0,183701.0,63495.0,87646.0,0.0,0.0,130020.0,1459425,1884925.0
3437,5739,0.0,0.0,30000.0,975588.0,2095743.0,915043.0,700000.0,1205501,255987.0
3438,3119,435092.0,74166.0,736841.0,500498.0,0.0,0.0,0.0,0,0.0
3439,4392,108620.5,0.0,226236.02,987907.16,,1231665.0,0.0,0,0.0
3440,5100,739452.21,459429.9,1056465.3,539578.28,553349.0,125581.0,560493.0,1936801,0.0
3441,6106,0.0,289000.0,290000.0,2495000.0,783000.0,514000.0,0.0,0,0.0
3442,14973,3629555.0,1157844.0,778333.0,2135811.0,2467374.0,2002990.0,3664844.0,1814370,0.0
3443,13427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
3446,13630,1415418.0,1655174.0,910051.0,603792.0,3506015.0,1051886.0,122921.0,2066730,173661.0
3447,5617,,381098.0,1042413.0,1328994.0,5531391.0,5849941.0,0.0,0,213893.0
3448,6633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
3449,2954,0.0,112500.0,0.0,0.0,325700.0,919000.0,890140.0,283144,164700.0
3450,1279,0.0,0.0,0.0,0.0,128381.0,625922.0,0.0,0,0.0
3451,6413,5498000.0,3643000.0,4850000.0,1765089.23,5788667.0,2385635.0,3534259.0,3302727,640693.0
3452,2125,1140000.0,845000.0,341000.0,0.0,0.0,0.0,0.0,0,0.0
3453,3229,0.0,0.0,0.0,0.0,0.0,0.0,161096.0,1557974,0.0
3454,1578,46000.0,705000.0,938000.0,436000.0,272656.0,1439003.0,1523963.0,3600390,923909.0
3801,27351,7223884.0,5227161.0,8499873.0,5590872.0,2116944.0,217163.0,161087.0,1122705,815882.0
3802,24699,12332030.0,15076950.73,18663839.8,21400774.969999973,617023.0,2528000.0,2798834.0,5747867,1470000.0
3803,56293,167000.0,309870.0,385000.0,310000.0,4400000.0,4430000.0,2223000.0,0,0.0
3804,63764,105383.0,145646.0,358347.0,98536.0,,987653.0,408333.0,0,0.0
3805,47204,889481.0,337363.0,319051.0,0.0,10363.0,2652147.0,1322515.0,1645682,761528.0
3806,36397,562019.0,141886.0,0.0,236485.0,603056.0,2304351.0,5099454.0,5163786,5519174.0
3807,54942,449536.48,52308.82,0.0,0.0,0.0,0.0,12057650.0,0,1506265.0
3808,13049,,3665442.0,2848901.0,206525.0,169310.0,1322301.0,3323757.0,4392904,4840471.0
3811,26730,,,,,,2379770.0,1235033.0,681840,0.0
3812,2340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2716275.0
3813,14061,74000.0,11000.0,470000.0,315000.0,,479994.0,0.0,9468386,795589.0
3814,10380,270000.0,0.0,0.0,0.0,0.0,0.0,0.0,832789,303344.0
3815,4060,0.0,0.0,265100.0,0.0,0.0,118692.0,186364.0,0,0.0
3816,6515,123370.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
3817,10444,151464.0,402822.0,1587148.0,464070.0,237341.0,469501.0,383848.0,186956,0.0
3818,5691,0.0,163506.0,1052776.0,504215.0,709074.0,746556.0,1559046.0,873659,3565885.0
3819,1573,197002.0,120988.0,126523.0,116147.0,0.0,181949.0,20702.0,0,0.0
3820,2888,505000.0,393000.0,566000.0,701000.0,193702.0,217505.0,311821.0,0,256292.0
3821,2403,114362.0,0.0,790800.0,916731.0,163000.0,0.0,0.0,271701,896068.0
3822,1448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
3823,1287,113000.0,0.0,0.0,0.0,298000.0,309000.0,49369.0,0,0.0
3824,2201,63000.0,0.0,0.0,246000.0,500322.0,118955.0,304565.0,2537744,1462907.0
3825,3676,0.0,0.0,1390606.0,390485.0,1187632.0,0.0,0.0,1317604,2091937.0
4201,6809,0.0,0.0,154009.0,170262.0,0.0,0.0,0.0,0,0.0
4202,23544,1295822.0,2389870.0,915691.0,3858165.0,,81468.0,5305000.0,10376203,261820.0
4203,44999,416000.0,171000.0,1524000.0,898000.0,564164.0,0.0,101730.0,0,0.0
4204,111633,5485744.0,9388180.0,10171908.0,13218375.0,16289817.0,11242453.0,7709251.0,7716631,857716.0
4205,23046,7415759.0,7692940.0,9304052.0,3845890.0,0.0,0.0,3928853.0,0,0.0
4206,9691,2523332.0,1652440.0,1348908.0,367981.0,457233.0,364178.0,2229083.0,5791066,4982008.0
4207,9028,6659311.0,1599799.0,2081484.0,5342300.0,11418438.0,12696952.0,15742709.0,17200000,11931000.0
4211,2428,229623.5,0.0,118230.0,908000.0,1123448.0,198461.0,527300.0,0,168429.0
4212,2097,2463671.0,2101839.0,649337.0,435131.0,978072.0,1683455.0,1324879.0,2399735,0.0
4213,6053,111070.0,669799.0,662882.0,532491.0,0.0,3256000.0,895890.0,2278388,489053.0
4214,5951,697806.0,576855.0,176377.0,268472.0,534991.0,525994.0,0.0,0,0.0
4215,11074,440154.0,551923.0,3539962.0,2356703.0,164251.0,22378.0,980859.0,388402,563288.0
4216,5226,344924.0,365812.0,1749110.0,682150.0,265484.0,120377.0,865208.0,2112646,1406217.0
4217,1836,0.0,0.0,0.0,0.0,0.0,165691.0,743894.0,589094,43854.0
4218,1331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
4219,3634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
4220,1162,436349.03,0.0,0.0,0.0,0.0,0.0,0.0,0,1010490.0
4221,1164,444187.0,1209599.0,1783951.0,0.0,0.0,0.0,5529815.0,0,4045817.0
4222,965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
4223,14774,1091941.0,776526.0,795250.0,1095408.0,2372726.0,1606527.0,5324154.0,3190960,3754581.0
4224,932,188646.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
4225,10365,69242.0,160627.0,842375.0,1190906.0,2799276.0,7430160.0,7171396.0,6689000,2028030.0
4226,1680,0.0,0.0,0.0,0.0,0.0,382394.0,149217.0,264923,32615.0
4227,5987,1153408.0,1955366.0,3239739.0,1661965.0,12238.0,187460.0,415592.0,61587,0.0
4228,1822,0.0,166000.0,1055000.0,1401000.0,2031106.0,612767.0,3351206.0,0,0.0
4601,283929,34421821.42,52070709.63,76140268.47,57423514.31,41800000.0,52800000.0,39482378.0,59235963,47263402.0
4602,17207,900000.0,0.0,48000.0,3300000.0,3100000.0,2440000.0,1746684.0,3409716,954049.0
4611,4062,4143000.0,3988000.0,3493000.0,3069000.0,2246000.0,2292000.0,2415563.0,3221151,5703630.0
4612,5766,6435698.0,2624082.0,1652339.0,3753224.0,2227654.0,1571974.0,1049502.0,0,147210.0
4613,11957,917414.0,888960.0,941195.0,1371097.0,1328819.0,547625.0,558779.0,1185450,517722.0
4614,18759,936566.0,5647157.0,5763658.0,2697938.0,646090.0,668735.0,770879.0,431443,1657129.0
4615,3189,369291.08,279299.54,875200.92,65465.0,0.0,358906.0,527180.0,0,0.0
4616,2869,2501127.5300000003,3954990.29,5837830.54,5259028.220000001,4723931.0,6124293.0,11376374.0,15682803,13143116.0
4617,13071,3691341.0,2422532.0,4567613.0,10259465.0,10029000.0,4676000.0,6328248.0,5312603,19383939.0
4618,11048,6659449.52,3275147.71,2411630.0,2900067.9,1898555.0,431325.0,1380224.0,8564484,24439195.0
4619,906,114832.0,277637.0,311171.0,292468.0,214002.0,454847.0,238107.0,691496,447299.0
4620,1080,937008.09,894464.92,755149.47,418051.28,1075788.0,2158683.0,998058.0,0,0.0
4621,15740,1729323.0,950982.0,3445716.0,1727646.0,6817961.0,2638811.0,4409216.0,835000,9301194.0
4622,8457,549733.0,933153.0,2739258.0,3827636.0,5470577.0,1635541.0,1847446.0,832267,1692075.0
4623,2485,5593208.0,6861329.0,7652210.0,9368547.0,3219991.0,1380179.0,1452145.0,978752,0.0
4624,24908,1054533.0,1915144.0,4263780.0,5682901.0,1413191.0,2208005.0,3773118.0,2945688,14697521.0
4625,5236,290170.0,0.0,968043.0,0.0,0.0,0.0,0.0,0,2041000.0
4626,38316,2477189.85,1226478.37,1973355.43,2798109.35,4419231.0,1345078.0,501891.0,18692489,4766299.0
4627,29553,,226067.0,1245609.0,1564613.0,1293792.0,501253.0,1441444.0,981724,1045965.5
4628,3977,1134579.0,1163931.0,4744006.0,6021428.0,5647111.0,8332614.0,5375584.0,4474408,6558640.0
4629,388,0.0,1000532.0,1932127.0,1234770.0,563393.0,2193401.0,2080321.0,1563098,3047316.0
4630,8098,497924.0,59953.0,0.0,1421123.0,6774076.0,8010801.0,4149094.0,7518790,14240451.0
4631,29224,12693587.13,11014368.94,13263593.58,16483478.02,16600222.0,19553943.0,18568354.0,26559705,20965000.0
4632,2870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1307120.0
4633,548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
4634,1691,0.0,0.0,0.0,0.0,307259.0,0.0,65815.0,0,0.0
4635,2297,0.0,0.0,0.0,209252.0,0.0,0.0,0.0,169249,396208.3
4636,802,601116.0,115073.0,1003726.0,4501.0,0.0,0.0,0.0,0,0.0
4637,1328,1190000.0,6750000.0,2210000.0,3360000.0,4054099.0,2840336.0,7536533.0,3331768,8849615.36
4638,4101,1388381.69,2173860.4,2393275.19,2529133.66,0.0,0.0,0.0,3022058,4672900.0
4639,2635,2234000.0,1924000.0,2527000.0,2959165.0,3248141.0,3677592.0,3468000.0,6518000,6552000.0
4640,11847,468984.0,506813.21,0.0,456436.69,801028.0,786702.0,500234.0,589159,7463919.0
4641,1781,0.0,2085.0,366416.0,54164.0,23520052.0,17947643.0,17306694.0,15818198,0.0
4642,2126,83846.0,406601.0,2102.0,0.0,6966359.0,7907220.0,2938094.0,0,3114389.0
4643,5193,11556162.0,18731988.0,14059468.0,16100942.0,12995170.0,13816015.0,13631483.0,18482282,17835133.0
4644,5174,0.0,128702.0,571813.0,583504.0,466571.0,523506.0,701019.0,1044593,1813077.0
4645,3011,5459445.0,4939253.0,527334.0,897577.0,0.0,0.0,672359.0,2486420,4296052.0
4646,2802,1242543.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
4647,22030,1005066.0,394386.0,306712.0,91949.0,310201.0,4577564.0,4307433.0,7075321,4933826.0
4648,3629,3111000.0,1671000.0,2854000.0,3220000.0,5823591.0,8653829.0,13543700.0,6556375,15509791.0
4649,9457,0.0,0.0,0.0,2871000.0,4739946.0,9233000.0,3051235.0,2541500,2397738.0
4650,5854,1036144.0,951027.0,407695.0,356179.0,62013.0,53803.0,1431530.0,398982,0.0
4651,7130,153611.17,465805.76,1529236.76,696003.99,4610867.0,2478883.0,1842000.0,2978286,3239396.0
