komnr,2015,2016,2017,2018,2019,2020,2021
5033,20.1,20.0,20.0,20.0,19.0,20.0,20.0
5034,40.1,40.0,40.0,38.0,33.0,29.0,33.0
5035,63.7,65.0,65.0,76.0,129.0,129.0,164.0
5036,22.0,22.0,23.0,23.0,23.0,23.0,22.0
5037,80.0,81.0,51.0,51.0,51.0,52.0,52.0
5038,111.0,113.0,87.0,88.0,87.0,88.0,88.0
5041,34.0,36.0,32.0,34.0,24.0,24.0,32.0
5042,26.4,26.4,26.4,27.0,22.0,22.0,22.0
5043,18.3,18.3,18.3,18.0,17.0,17.0,17.0
5044,19.6,17.6,18.6,21.0,18.0,18.0,18.0
5045,47.0,47.0,47.0,49.0,46.0,42.0,42.0
5046,41.4,25.4,38.4,27.0,23.0,23.0,19.0
5047,39.0,39.0,39.0,40.0,36.0,34.0,34.0
5049,22.4,22.4,22.4,21.0,20.0,20.0,20.0
5052,14.3,14.3,14.3,14.0,14.0,14.0,14.0
5053,53.0,55.0,43.0,43.0,41.0,26.0,28.0
5054,93.0,93.0,95.0,93.0,93.0,93.0,85.0
5055,,,,,,57.0,57.0
5056,,,,,,35.0,38.0
5057,48.0,48.0,48.0,48.0,64.0,52.0,49.0
5058,63.0,60.0,56.0,56.0,56.0,56.0,58.0
5059,,,,,,184.0,167.0
5060,98.1,99.1,100.1,100.0,97.0,97.0,98.0
5061,43.0,39.0,34.0,34.0,32.0,24.0,35.0
5401,407.0,414.0,440.0,485.0,440.0,443.0,434.0
5402,204.0,212.5,214.0,212.4,214.0,204.0,204.0
5403,149.0,149.0,153.0,146.0,139.0,135.0,136.0
5404,33.0,33.0,33.0,29.0,33.0,29.0,29.0
5405,20.0,20.0,20.0,20.0,26.0,26.0,26.0
5406,72.0,107.0,117.0,117.0,116.0,114.0,114.0
5411,38.0,37.4,37.0,37.5,37.0,37.0,39.0
5412,51.0,51.7,55.0,53.7,55.0,55.0,55.0
5413,35.0,28.0,28.0,26.0,26.0,26.0,16.0
5414,23.0,23.3,23.0,22.0,22.0,22.0,21.0
5415,21.0,19.0,21.0,20.0,21.0,21.0,20.0
5416,44.0,41.0,41.0,38.0,38.0,38.0,37.0
5417,28.0,22.0,20.0,20.0,14.0,22.0,30.0
5418,63.0,63.0,63.0,66.0,65.0,66.0,64.0
5419,27.0,27.0,27.0,27.0,27.0,27.0,27.0
5420,25.0,25.0,25.0,25.0,25.0,17.0,16.0
5421,208.0,208.0,208.0,204.0,208.0,209.0,209.0
5422,70.0,71.0,70.0,70.0,72.0,72.0,72.0
5423,40.0,38.0,37.0,37.0,42.0,36.0,36.0
5424,24.0,24.0,24.0,24.0,24.0,24.0,24.0
5425,18.0,17.0,18.0,20.0,17.0,16.0,17.0
5426,29.0,29.0,29.0,20.0,26.0,31.0,31.0
5427,30.0,27.0,32.0,32.0,32.0,32.0,32.0
5428,56.0,61.0,58.0,62.0,60.0,60.0,55.0
5429,25.0,24.0,24.0,24.0,24.0,24.0,19.0
5430,14.0,14.0,14.0,17.0,17.0,20.0,17.0
5432,17.0,17.0,18.0,17.0,17.0,17.0,18.0
5433,24.0,24.0,23.0,23.0,23.0,23.0,23.0
5434,23.0,23.0,23.0,23.0,23.0,23.0,23.0
5435,37.0,37.0,37.0,32.0,41.0,41.0,32.0
5436,26.0,27.0,26.0,36.0,36.0,36.0,36.0
5437,18.0,18.0,26.0,18.0,29.0,27.0,27.0
5438,16.0,16.0,16.0,14.0,17.0,17.0,17.0
5439,15.0,12.0,16.0,13.0,13.0,13.0,10.0
5440,17.0,18.0,17.0,16.0,16.0,16.0,16.0
5441,19.0,19.0,19.0,19.0,21.0,11.0,11.0
5442,19.0,19.0,18.0,18.0,16.0,14.0,14.0
5443,17.0,17.0,16.0,19.0,19.0,19.0,19.0
5444,79.0,79.0,80.0,80.0,80.0,79.0,79.0
