komnr,2015,2016,2017,2018,2019,2020,2021
5045,2.96,3.77,2.8,1.4,1.3,1.7,1.7
5046,2.36,3.41,3.1,2.6,1.9,2.7,2.5
5047,5.52,5.47,6.2,6.9,6.8,5.7,6.9
5049,11.13,11.81,11.3,7.9,7.3,6.8,7.4
5060,10.059999999999999,10.09,11.299999999999999,10.7,11.2,9.3,12.3
5052,2.38,3.29,3.5,4.2,7.0,8.9,10.5
5053,2.98,3.08,3.4,3.5,5.1,4.2,5.0
5054,9.95,10.44,11.6,3.6,4.4,4.9,5.2
5055,0.0,0.0,0.0,0.0,0.0,6.4,6.2
5056,0.0,0.0,0.0,0.0,0.0,5.5,4.8
5059,0.0,0.0,0.0,0.0,0.0,6.0,5.9
1804,4.57,4.44,4.0,4.0,3.8,3.7,3.9
1806,0.0,0.0,0.0,0.0,0.0,4.9,5.9
1811,3.69,4.39,4.9,4.6,5.3,5.8,5.3
1812,1.87,2.01,1.9,1.9,2.6,2.0,2.3
1813,5.17,5.29,5.9,6.4,5.3,5.0,5.0
1815,2.46,2.03,1.9,2.1,1.8,2.0,2.1
1816,2.24,2.47,1.9,2.8,4.0,3.0,10.2
1818,10.19,9.42,7.0,6.0,5.5,6.1,5.9
1820,3.66,4.96,5.3,5.7,5.9,3.7,3.6
1822,1.82,2.15,2.1,1.8,2.0,2.6,3.1
1824,3.83,4.28,5.0,6.6,7.2,8.0,8.1
1825,1.46,2.26,1.9,1.9,3.5,2.5,2.3
1826,6.19,7.63,8.6,14.6,16.3,11.5,14.1
1827,5.63,4.04,3.8,9.6,6.9,5.7,4.5
1828,2.62,3.0,3.2,2.0,2.0,3.2,3.0
1832,4.48,6.01,5.6,5.0,5.0,5.7,7.3
1833,5.7,6.24,6.4,6.0,5.9,5.8,5.7
1834,10.8,13.86,14.2,14.7,10.5,12.5,12.5
1835,3.08,2.93,2.5,1.9,2.2,1.3,1.3
1836,2.08,6.64,5.8,5.3,5.5,7.5,5.8
1837,3.49,4.05,4.4,5.1,4.3,4.5,4.0
1838,6.97,6.83,6.2,5.5,5.2,3.4,3.5
1839,3.42,3.04,3.3,4.8,4.5,4.8,4.1
1840,4.64,3.91,3.8,2.5,4.7,3.1,2.7
1841,4.57,4.31,4.4,4.8,4.8,5.4,4.1
1845,2.4,2.57,2.9,2.4,2.1,1.9,2.5
1848,4.19,4.28,4.7,4.2,4.6,5.3,5.6
1851,21.6,20.22,15.7,12.1,9.6,4.8,19.3
5412,10.04,15.9,15.200000000000001,14.0,11.7,6.0,6.5
1853,3.66,2.72,3.2,2.8,3.0,2.8,2.8
1856,1.8,2.72,1.4,1.2,1.2,1.2,1.1
1857,10.81,9.69,10.3,4.1,3.9,3.7,3.1
1859,7.24,5.45,6.2,7.3,2.6,3.6,4.6
1860,10.5,10.33,11.4,3.4,3.1,4.1,3.4
1865,5.93,6.28,9.5,10.7,10.3,10.2,8.7
1866,3.44,3.75,3.9,3.5,3.3,3.2,3.4
1867,2.82,2.57,2.7,2.7,2.5,2.3,2.1
1868,4.3,4.5,5.2,5.1,5.3,6.0,6.0
1870,6.45,7.8,6.3,7.6,9.0,7.8,6.6
1871,5.37,4.63,4.3,3.9,3.1,3.2,4.9
1874,4.46,3.42,5.1,4.1,5.6,4.4,4.6
1875,0.0,0.0,0.0,0.0,0.0,3.5,2.8
5401,6.9,7.18,8.2,7.6,8.1,6.8,6.6
