komnr,2015,2016,2017,2018,2019,2020,2021
4642,5.92,6.59,8.2,6.6,6.0,5.6,6.0
4643,2.42,2.61,3.3,2.5,4.2,3.5,3.9
4644,3.64,3.39,4.5,4.4,9.7,7.2,8.3
4645,3.5,4.8,4.4,3.3,3.5,3.8,3.4
4646,4.15,3.18,2.5,2.5,1.4,2.2,3.8
4647,27.53,17.32,23.0,21.7,20.7,4.5,4.5
4648,4.64,4.67,5.3,3.7,4.0,4.9,4.8
4649,10.600000000000001,9.870000000000001,11.2,11.3,9.7,6.1,5.4
4650,8.5,7.78,8.3,8.6,11.2,10.8,10.7
4651,4.41,4.68,4.3,4.3,4.6,5.7,10.3
1577,9.99,9.83,9.6,10.3,8.4,5.7,5.9
1506,12.43,12.32,12.9,13.0,11.7,5.6,5.9
1507,29.970000000000002,30.59,29.2,30.0,29.8,6.0,5.8
1505,7.13,7.98,8.4,8.9,7.9,7.4,7.3
1511,3.8,3.5,3.7,3.8,4.0,2.6,2.6
1514,3.94,4.5,5.0,3.9,3.8,6.5,5.8
1515,2.48,3.15,3.8,3.9,4.0,4.5,3.6
1516,6.38,6.77,6.8,6.7,6.2,7.4,7.3
1517,3.48,3.05,2.3,2.6,2.6,2.3,2.6
1520,5.08,4.44,4.4,4.2,4.5,4.2,3.7
1578,6.97,6.64,6.1000000000000005,5.7,5.9,2.8,2.7
1525,5.35,4.93,4.4,5.4,6.1,5.1,3.8
1528,7.75,8.19,10.1,9.9,10.0,9.0,9.1
1531,9.46,7.83,8.7,9.9,8.9,8.0,6.8
1532,14.74,15.5,13.9,14.7,12.7,14.2,16.4
1535,8.8,7.52,8.0,8.6,8.0,8.4,9.2
1539,3.13,3.37,4.0,4.2,4.3,6.0,5.2
1547,4.57,4.88,5.0,4.6,5.4,5.2,4.6
1579,7.02,5.32,6.0,6.6,7.9,2.7,3.3
1554,2.3,3.82,3.5,3.0,2.8,3.3,3.1
1557,4.82,4.62,5.3,4.9,6.6,7.7,7.7
1560,5.0,3.57,3.5,3.6,3.2,3.2,3.1
1563,3.36,3.71,4.3,16.8,4.3,4.3,4.4
1566,3.01,2.96,3.0,2.8,3.5,3.0,3.3
5061,2.92,5.03,4.8,4.0,3.1,3.2,3.4
1573,3.07,2.57,2.6,2.5,4.6,3.7,3.2
